Indonesia,Batak
Premi untuk setiap anggota masyarakat miskin yang ingin mendapatkan layanan medis di puskesmas adalah Rp1.000,Premi Di Be Ruas Masarakat Pogos Na Giot Mandapothon Hobason medis I puskesmas Adongma Rp1.000
Biaya untuk rawat inap dan operasi kecil harus diklaim dan bukan ditanggung oleh dana kapitasi,Ongkos Di Mudu Sorang Dohot operasi Metmet Ingkon diklaim Dohot Ate Sibalanjoan Angkup Hepeng kapitasi
Bapel juga menggunakan sistem klaim bagi rumah sakit,Bapel Musem Mamangke sistem klaim Sagi Jabu Hansit
"Contohnya , jahitan akibat luka dapat diklaim dari Bapel dan tidak ditanggung oleh dana kapitasi puskesmas","Tiruna , Panjaruman Horhon Bugang Dohar diklaim Sian Bapel Dohot Ndada Sibalanjoan Angkup Hepeng kapitasi puskesmas"
Bapel akan mengganti pembayaran dana sekitar dua hingga empat minggu setelah klaim diajukan,Bapel Naeng Manggonti Panggararan Hepeng Lambung Dua Sondot Opat Minggu Dungkon klaim diajukan
"Hingga kini , kesepakatan antara rumah sakit dan Bapel berkaitan dengan penentuan resep obat-obatan dan premi pengobatan","Sondot Nuaeng , Dosniroha Holangholang Jabu Hansit Dohot Bapel Hombar Dohot Panontuan Ramuan Ubat Dohot premi pengobatan"
Rumah sakit dapat mengirim klaim ke Bapel sekali sebulan namun sering kali klaim ini terlambat lebih dari sebulan,Jabu Hansit Dohar Manongos klaim Tu Bapel Sahali Sabulan Alai Jotjot Loni klaim On Tarlambat Lobi Sian Sabulan
Ini tentu saja sangat membantu bagi tim verifikasi klaim yang bekerja di Bapel,On Tontu Ondeng Sai Manumpahi Sagi tim Padenggan klaim Na Markarejo I Bapel
"Hal ini mencakup biaya laboratorium , penggunaan alat-alat sederhana , dan jasa dokter","Bongka On Manghamham Ongkos Laboratorium , penggunaan Ulaula alat Bulus , Dohot Haburjuon Pandaoni"
PT Askes telah menyiapkan paket bantuan bagi pengobatan rawat inap di rumah sakit yang mencapai Rp63.000 per orang per hari,PT Askes Nunga Paradehon Paket Tumpak Sagi pengobatan Mudu Sorang I Jabu Hansit Na Sahat Rp63.000 per Jolma per Ari
"Contohnya , PT Askes menetapkan harga obat Amoxicillin sebesar Rp22.000 , sedangkan harga pasarnya dapat mencapai Rp48.000","Tiruna , PT Askes Manontuhon Arga Ubat Amoxicillin Sabalga Rp22.000 , Gari Arga pasarnya Dohar Sahat Rp48.000"
Hingga saat ini tidak ada kesepakatan tentang bagaimana rumah sakit dapat mengklaim kepada PT Askes,Sondot Sangga On Ndada Isi Dosniroha Olap Beha Jabu Hansit Dohar mengklaim Tu PT Askes
"Secara umum , Bapel menerima klaim-klaim yang diajukan selama klaim tersebut sesuai dengan kesepakatan bersama","Sasara Boa , Bapel Manjalo klaim-klaim Na diajukan Saleleng klaim tersebut Une Dohot Dosniroha Rap"
Setiap rumah tangga miskin telah memiliki kartu sehat berwarna biru sejak 1 Januari 2004,Be Jabu Balatuk Pogos Nunga Mangarihon Kartu Hipas Maruarna Balau Mula Sada Januari 2004
"Sementara itu , sistem yang dibangun PT Askes memperlakukan klaim dari masyarakat miskin sama dengan klaim dari PNS golongan III","Santokin Ido , sistem Na Dipauli PT Askes Mambahen klaim Sian Masarakat Pogos Sarupa Dohot klaim Sian PNS Horong III"
Kartu ini berbeda dengan kartu yang dikeluarkan oleh Bapel yang mencakup satu rumah tangga,Kartu On Pinjil Dohot Kartu Na Dipabali Angkup Bapel Na Manghamham Sada Jabu Balatuk
Puskesmas mencatat nama keluarga miskin bersama anggota keluarganya yang menjadi tanggung jawab mereka,Puskesmas Manurat Goar Tondong Pogos Rap Ruas Tondongna Na Jala Alang Alus Nasida
"Bapel bertanggung jawab atas penyediaan kartu , namun hanya menyediakan kartu bagi mereka yang dilayani oleh puskesmas tertentu","Bapel bertanggung Alus Ginjang penyediaan Kartu , Alai Holan Patupahon Kartu Sagi Nasida Na Dihobasi Angkup puskesmas Hoding"
IDENTIFIKASI DAN VERIFIKASI MASYARAKAT MISKIN,IDENTIFIKASI Dohot Padenggan Masarakat Pogos
Kartu lama ini masih dapat digunakan karena Bapel belum mengeluarkan kartu baru,Kartu Leleng On Nari Dohar Digunahon Alani Bapel Ndangdope Mangosari Kartu Imbaru
"Setelah ditandatangani kepala puskesmas , kartu akan diserahkan kepada kepala desa melalui bides atau petugas pustu","Dungkon Didodal Ulu puskesmas , Kartu Naeng Disahaphon Tu Ulu Lumban Marhitehite bides Manang Parhobas pustu"
"Menjelang akhir Januari 2005 ketika tim SMERU dan Bank Dunia melakukan studi lapangan , masyarakat belum menerima kartu barunya","Manjonok Pudi Januari 2005 Andorang tim SMERU Dohot Bank Portibi Padalanhon studi Adaran , Masarakat Ndangdope Manjalo Kartu barunya"
yang menyulitkan petugas untuk melakukan pencatatan,Na Pamaolhon Parhobas Di Padalanhon pencatatan
Pengumpulan data didanai dari dana alokasi umum pemda,Pengumpulan data didanai Sian Hepeng alokasi Boa pemda
"Awalnya , setiap surveyor menerima upah Rp60.000 per orang untuk tiga hari","Mulana , Be surveyor Manjalo Upa Rp60.000 per Jolma Di Tolu Ari"
"Contohnya , kriteria BKKBN yang terkait dengan lantai rumah menyimpulkan bahwa rumah miskin adalah rumah yang berlantai tanah","Tiruna , kriteria BKKBN Na Porot Dohot Lante Jabu Manimpulhon Ima Jabu Pogos Adongma Jabu Na berlantai Tano"
Pembiayaan Dana untuk program JPK-Gakin disediakan oleh pemda dan pemerintah pusat,Pembiayaan Hepeng Di Ruhutruhut JPK-Gakin Diparade Angkup pemda Dohot Pamarenta Pusok
biaya pengobatan pasien rawat inap di puskesmas;,Ongkos pengobatan Namarsahit Mudu Sorang I puskesmas;
biaya pengobatan pasien rawat inap bagi pasien yang dirujuk ke rumah sakit;,Ongkos pengobatan Namarsahit Mudu Sorang Sagi Namarsahit Na dirujuk Tu Jabu Hansit
"Ada dua bentuk kegiatan yang dibiayai dari dana ini , yaitu kegiatan utama dan kegiatan tambahan","Isi Dua Rumang kegiatan Na dibiayai Sian Hepeng On , Ima kegiatan Lopok Dohot kegiatan Angkup"
biaya transpor untuk pasien yang dirujuk dan;,Ongkos transpor Di Namarsahit Na dirujuk Dohot
Biaya pengangkutan obat-obatan oleh puskesmas kepada kantor DinKes kabupaten; dan,Ongkos pengangkutan Ubat Angkup puskesmas Tu Kantor DinKes Kabupaten Dohot
Hal yang sama juga terjadi pada puskesmas,Bongka Na Sarupa Musem Manjadi Di puskesmas
Puskesmas hanya menerima suplai obat-obatan berdasarkan permintaan,Puskesmas Holan Manjalo suplai Ubat Marbingkas Pangidoan
"Biaya rawat inap , operasi kecil , jahitan diajukan ke Bapel sebagai klaim dari puskesmas","Ongkos Mudu Sorang , operasi Metmet , Panjaruman diajukan Tu Bapel Ansiatni klaim Sian puskesmas"
"Jika tidak , maka PT Askes akan mengeruk keuntungan yang cukup banyak","Molo Ndada , Asa PT Askes Naeng Manghurak Parlabaan Na Ris Godang"
Empat puluh persen dana kapitasi disediakan untuk membayar obat-obatan dan 60% untuk membiayai biaya operasional puskesmas,Opat Pulu Porsen Hepeng kapitasi Diparade Di Manggarar Ubat Dohot Onompulu Di Mangongkosi Ongkos operasional puskesmas
Hal ini lebih sering dialami oleh RSUD Sumba Timur dibandingkan dengan Rumah Sakit Swasta Lindimara,Bongka On Lobi Jotjot Diahap Angkup RSUD Sumba Purba Ditudoshon Dohot Jabu Hansit Partikulir Lindimara
"Meski demikian , pengalaman pasien di rumah sakit tampaknya berbeda","Nang Alai , Bitik Namarsahit I Jabu Hansit Hataridaan Pinjil"
Pasien yang datang ke puskesmas umumnya mengatakan bahwa mereka tidak perlu membayar ketika berobat ke puskesmas,Namarsahit Na Ro Tu puskesmas umumnya Mandokkon Ima Nasida Ndada Porlu Manggarar Andorang Marubat Tu puskesmas
Hal ini merupakan kasus yang ditemukan pada pasien rawat inap yang diwawancarai di Puskesmas Nggongi,Bongka On merupakan kasus Na Haluluan Di Namarsahit Mudu Sorang Na diwawancarai I Puskesmas Nggongi
"Akibatnya , hanya sebagian kecil dari masyarakat miskin yang menggunakan kartu jaminan kesehatan untuk rujukan ke rumah sakit","Hinorhonna , Holan Deba Metmet Sian Masarakat Pogos Na Mamangke Kartu Tahanjorat Hahipason Di rujukan Tu Jabu Hansit"
Masyarakat miskin tidak menyadari bahwa terdapat pembatasan-pembatasan dalam layanan yang diterima di rumah sakit,Masarakat Pogos Ndada menyadari Ima Tardapot pembatasan-pembatasan Bagas Hobason Na Dijangkon I Jabu Hansit
Beberapa jenis media dipakai untuk menyebarkan informasi menyangkut layanan medis gratis bagi masyarakat miskin,Pigapiga Ragam media Dipangke Di Pararathon informasi menyangkut Hobason medis Pere Sagi Masarakat Pogos
Hal ini didorong oleh fakta bahwa mereka kuatir jika mereka harus membayar untuk layanan pengobatan di rumah sakit,Bongka On Dionjar Angkup Tarida Ima Nasida kuatir Molo Nasida Ingkon Manggarar Di Hobason pengobatan I Jabu Hansit
Ada kesan bahwa masyarakat miskin akan diperlakukan sama jika diterima sebagai pasien rawat inap di rumah sakit,Isi Siingoton Ima Masarakat Pogos Naeng Diamoamo Sarupa Molo Dijangkon Ansiatni Namarsahit Mudu Sorang I Jabu Hansit
Jumlah pasien di puskesmas dan juga pasien rawat inap di rumah sakit terus meningkat,Lonsam Namarsahit I puskesmas Dohot Musem Namarsahit Mudu Sorang I Jabu Hansit Torus Manimbuknimbuk
Obat-obatan DinKes mengelola semua dana yang dipakai untuk membeli obat-obatan bagi masyarakat miskin,Ubat DinKes Mangaradoti Luhut Hepeng Na Dipangke Di Manuhor Ubat Sagi Masarakat Pogos
"Untuk kebutuhan obat-obatan , puskesmas menerima dana dari alokasi JPK-Gakin","Di Haporluon Ubat , puskesmas Manjalo Hepeng Sian alokasi JPK-Gakin"
Permintaan akan obat dari puskesmas selalu terpenuhi oleh DinKes Kabupaten,Pangidoan Naeng Ubat Sian puskesmas Tongtong Targoki Angkup DinKes Kabupaten
Semuanya bersumber dari dana kompensasi pengurangan subisidi BBM dan juga dari pemerintah daerah,Sasudena Marasal Sian Hepeng Upana pengurangan subisidi BBM Dohot Musem Sian Pamarenta Huta
"Obat-obatan bagi masyarakat miskin dan nonmiskin tidak terpisah , baik dalam hal administrasi maupun pendanaan","Ubat Sagi Masarakat Pogos Dohot nonmiskin Ndada Tarsirang , Denggan Bagas Bongka administrasi Olope pendanaan"
Kedua rumah sakit mengeluhkan bahwa standar harga obat-obatan yang ditawarkan PT Askes terlalu rendah,Paduahon Jabu Hansit Moingoing Ima standar Arga Ubat Na ditawarkan PT Askes Palobihu Hetek
Malaria adalah salah satu penyakit yang paling banyak diderita oleh masyarakat di kabupaten ini,Arun Adongma Sala Sada Sahit Na Timbil Godang Disarita Angkup Masarakat I Kabupaten On
"Selain itu , rumah sakit juga dapat memanfaatkan obatobatan yang tidak termasuk dalam daftar DPHO jika ada alasan logis","Angkupni Ido , Jabu Hansit Musem Dohar Mamparhaseanghon obatobatan Na Ndada Padohot Bagas Surat DPHO Molo Isi Sidalian Tarjalopikkiran"
Kotorannya ada di mana-mana dan menyebabkan tumbuhnya bakteri,Kotorannya Isi I Dia Dohot Manghorhon tumbuhnya Simu
"Secara umum , pemegang kartu jaminan kesehatan , menggunakan layanan medis di semua fasilitas kesehatan yang tersedia","Sasara Boa , pemegang Kartu Tahanjorat Hahipason , Mamangke Hobason medis I Luhut fasilitas Hahipason Na Ture"
Isu utama bagi rakyat miskin adalah jarak antara rumah serta keterbatasan dan mahalnya biaya transpor yang harus dikeluarkan,Bortik Lopok Sagi Anakhinomit Pogos Adongma Holang Holangholang Jabu Angkup Hahapalangan Dohot Argado Ongkos transpor Na Ingkon Dipabali
"Binatang ternak seperti ayam , babi , kambing , kerbau dan sapi berkeliaran di halaman dan jalan-jalan","Binatang Hurje Tudos Manuk , Babi , Hambing , Horbo Dohot Lombu Ginju I Antaran Dohot Dalan"
"Pada musim kering , daerah ini sulit mendapatkan air bersih","Di Partaonan Mahiang , Huta On Gogot Mandapothon Aek Ias"
Persoalan akan sama jika mereka harus dirujuk ke rumah sakit,Parsoalan Naeng Sarupa Molo Nasida Ingkon dirujuk Tu Jabu Hansit
Kesulitan-kesulitan ini sering kali mengakibatkan mereka enggan untuk dirujuk ke rumah sakit,Hagogotan On Jotjot Loni Mangkorhon Nasida Bangkol Di dirujuk Tu Jabu Hansit
Baik laki-laki maupun perempuan memiliki kebiasaan mengunyah sirih pinang dan membuangnya di sembarang tempat,Denggan Baea Olope Parompuan Mangarihon Hasomalan Mangkilhil Napuran Pining Dohot membuangnya I Marsineang Inganan
Jarak dan tingkat kesulitan untuk menjangkau fasilitas layanan adalah masalah utama bagi masyarakat miskin,Holang Dohot Tingkat Hagogotan Di Mandungdung fasilitas Hobason Adongma Hasuharan Lopok Sagi Masarakat Pogos
"Puskesmas Nggongi terletak di Kecamatan Karera , yang berpenduduk 10.863 jiwa","Puskesmas Nggongi Ampe I Kecamatan Karera , Na berpenduduk 10.863 Tondi"
Hanya terdapat satu bis yang melayani rute ini dan hanya berjalan sekali dalam sehari,Holan Tardapot Sada bis Na Marhalado rute On Dohot Holan Mardalan Sahali Bagas Sadari
"Puskesmas ini memiliki beberapa sumber dana , seperti","Puskesmas On Mangarihon Pigapiga Asal Hepeng , Tudos"
"Dari jumlah ini , total 8.983 jiwa digolongkan masyarakat miskin","Sian Lonsam On , Lonsam 8.983 Tondi digolongkan Masarakat Pogos"
biaya operasional 15 juta rupiah per tahun; 3,Ongkos operasional Sampululima Juta Rupia per Taon Tolu
Puskesmas yang dibangun pada 1972 ini sejak tahun tersebut memiliki 10 tempat tidur untuk pasien rawat inap,Puskesmas Na Dipauli Di 1972 On Mula Taon tersebut Mangarihon Sampulu Inganan Modom Di Namarsahit Mudu Sorang
sepuluh juta rupiah dialokasikan untuk layanan rawat inap setiap tahun; 5,Sampulu Juta Rupia dialokasikan Di Hobason Mudu Sorang Be Taon Lima
Dokter dan perawat tinggal tidak jauh dari puskesmas dan memudahkan pasien ketika tiba di luar jam kerja,Pandaoni Dohot Parorot Tading Ndada Tais Sian puskesmas Dohot memudahkan Namarsahit Andorang Ro I Ruar Pungkul Karejo
Puskesmas menerima dana semua biaya ini dari DinKes Kabupaten,Puskesmas Manjalo Hepeng Luhut Ongkos On Sian DinKes Kabupaten
"biaya untuk pustu di bawah puskesmas Rp1,5 juta per tahun; dan 6","Ongkos Di pustu I Toru puskesmas Rp1,5 Juta per Taon Dohot Onom"
"Selain itu , ada tiga bides dan lima perawat dan petugas kesehatan","Angkupni Ido , Isi Tolu bides Dohot Lima Parorot Dohot Parhobas Hahipason"
"Pada saat penelitian lapangan dilakukan , hanya terdapat dua pasien rawat inap","Di Sangga penelitian Adaran Dipadalan , Holan Tardapot Dua Namarsahit Mudu Sorang"
salah satunya mengidap malaria dan lainnya terkena luka dalam akibat serangan seekor babi hutan,Sala Sadado mengidap Arun Dohot Habalian Piltik Bugang Bagas Horhon serangan Saihur Babi Harangan
Dokter yang ada sekarang adalah dokter yang berstatus PNS dan telah bekerja di puskesmas tersebut selama dua tahun,Pandaoni Na Isi Nuaeng Adongma Pandaoni Na berstatus PNS Dohot Nunga Markarejo I puskesmas tersebut Saleleng Dua Taon
Atau mereka cukup menyatakan terima kasih,Manang Nasida Ris Manghajongjonghon Jalo Asi
Rata-rata dalam setiap bulan hanya terdapat satu atau dua orang yang dirujuk ke rumah sakit,Hombang Bagas Be Bulan Holan Tardapot Sada Manang Dua Jolma Na dirujuk Tu Jabu Hansit
Banyak masyarakatnya mencari bantuan medis terdekat yakni dari dukun selama proses melahirkan,Godang masyarakatnya Luluan Tumpak medis Jumonok yakni Sian Datu Saleleng Parkaro Manubuhon
Pasien yang tidak menderita sakit parah dapat dirawat di puskesmas dengan fasilitas rawat inap seadanya,Namarsahit Na Ndada Porsuk Hansit Posa Dohar Disoroni I puskesmas Dohot fasilitas Mudu Sorang Golle
"Binatang ternak seperti sapi , kuda dan babi umumnya dilepas berkeliaran di sekitar kecamatan","Binatang Hurje Tudos Lombu , Hoda Dohot Babi umumnya Tula Ginju I Lambung kecamatan"
Kotoran-kotoran hewan tersebar dan membuat lingkungan menjadi kotor termasuk lingkungan di sekitar puskesmas,Saridondon Pinahan Mampar Dohot Mambaen Humaliang Jala Ronsan Padohot Humaliang I Lambung puskesmas
"Ada tiga tokoh masyarakat , salah satunya adalah raja dan lainnya adalah kepala kampung","Isi Tolu Pangituai Masarakat , Sala Sadado Adongma Raja Dohot Habalian Adongma Ulu Huta"
Semua ternaknya dibiarkan bebas di jalan-jalan di sekitar desa dan kecamatan,Luhut Pinahanna Nalom Jalang I Dalan I Lambung Lumban Dohot kecamatan
Ini karena para tokoh dan pemimpinnya memiliki ribuan ekor ternak dan membiarnya berkeliaran dengan bebas,On Alani Ni Pangituai Dohot pemimpinnya Mangarihon ribuan Ihur Hurje Dohot membiarnya Ginju Dohot Jalang
"Namun , para perempuan mendapatkan penjelasan dari posyandu","Alai , Ni Parompuan Mandapothon Manangkasion Sian posyandu"
Para dokter seringkali berselisih paham dengan mereka akibat banyaknya hewan ternak yang berada di sekitar lingkungan kerjanya,Ni Pandaoni seringkali Maraloalo Antus Dohot Nasida Horhon Godangna Pinahan Hurje Na Maradong I Lambung Humaliang Karejona
"Puskesmas ini melayani sekitar 19.767 jiwa dan 78,61%nya adalah masyarakat miskin","Puskesmas On Marhalado Lambung 19.767 Tondi Dohot 78,61%nya Adongma Masarakat Pogos"
ISU PENTING BERKAITAN DENGAN PELAKSANAAN JAMINAN KESEHATAN 1,Bortik Ringkot Hombar Dohot PELAKSANAAN Tahanjorat Hahipason Sada
"Untuk pekerjaan tersebut , mereka diupah Rp250 per kartu dan mendapat layanan kesehatan gratis di puskesmas","Di Ulaon tersebut , Nasida Diupa Rp250 per Kartu Dohot Taruli Hobason Hahipason Pere I puskesmas"
Orang-orang yang telah membantu kegiatan posyandu secara sukarela telah dilibatkan dalam penyebaran dan pengisian kartu sehat,Jolma Na Nunga Manumpahi kegiatan posyandu Sasara sukarela Nunga dilibatkan Bagas penyebaran Dohot pengisian Kartu Hipas
"Identifikasi keluarga miskin , pendistribusian kartu miskin dilakukan sepenuhnya oleh Bapel","Identifikasi Tondong Pogos , pendistribusian Kartu Pogos Dipadalan Sagokna Angkup Bapel"
"Ada juga seorang asisten laki-laki di puskesmas ini , yang tentunya tidak biasa karena hampir semuanya adalah perempuan","Isi Musem Sahalak Alingan Baea I puskesmas On , Na tentunya Ndada Somal Alani Giot Sasudena Adongma Parompuan"
Pengelolaan jaminan kesehatan di kabupaten selama ini berjalan lancar oleh Bapel,Pengelolaan Tahanjorat Hahipason I Kabupaten Saleleng On Mardalan Hamsar Angkup Bapel
Begitu pula penggantian dana pelayanan kesehatan tidak banyak mendapat keluhan dari rumah sakit,Ido Antong penggantian Hepeng Pangurupion Hahipason Ndada Godang Taruli Arsak Sian Jabu Hansit
"Selama ini , kerja sama rumah sakit dengan Bapel telah terjalin dengan baik","Saleleng On , Karejo Sarupa Jabu Hansit Dohot Bapel Nunga Tarpulos Dohot Denggan"
Mereka berharap PT Askes tidak terlalu kaku dalam menerapkan ketentutan obat bagi orang miskin,Nasida Tarhurim PT Askes Ndada Palobihu Ongkong Bagas menerapkan ketentutan Ubat Sagi Jolma Pogos
Ketentuan ini tentu saja dapat menimbulkan kecemburuan bagi keluarga miskin,Hatontuan On Tontu Ondeng Dohar Mangalaluhon Pangiburuon Sagi Tondong Pogos
"Pada saat penelitian berlangsung , PT Askes belum mulai beroperasi karena menunggu perintah pelaksanaan dari PT Askes pusat","Di Sangga penelitian berlangsung , PT Askes Ndangdope Buhai beroperasi Alani Aning Gomgom pelaksanaan Sian PT Askes Pusok"
Semua kendala yang muncul dan penyesuaian ketentuan obat bisa dibahas bersama sehingga tidak merugikan rumah sakit atau pasien,Luhut Abat Na Mullop Dohot penyesuaian Hatontuan Ubat Boi Diuhal Rap Rodina Ndada Mangarugii Jabu Hansit Manang Namarsahit
"Namun demikian , karena beragam alasan , mayoritas pasien Gakin tidak dirujuk ke rumah sakit","Alai Alai , Alani Marmansam Sidalian , mayoritas Namarsahit Gakin Ndada dirujuk Tu Jabu Hansit"
"Secara umum , layanan kesehatan di tingkat puskesmas amat terbatas baik dalam hal mutu dan keragaman.","Sasara Boa , Hobason Hahipason I Tingkat puskesmas Hian Hapalang Denggan Bagas Bongka Tingkos Dohot Hamansamon"
program layanan kesehatan; mekanisme pembiayaan; skema jaminan; pemangku kepentingan; layanan kesehatan,Ruhutruhut Hobason Hahipason mekanisme pembiayaan; skema Tahanjorat pemangku Guna Hobason Hahipason
"Program ini , antara lain , mencakup penyediaan obat-obatan dan vaksin Hepatitis B untuk layanan kesehatan dasar","Ruhutruhut On , Holangholang Asing , Manghamham penyediaan Ubat Dohot vaksin Hepatitis B Di Hobason Hahipason Bingkas"
Beberapa kabupaten telah berhasil melaksanakan dan meneruskan skema program dengan cukup baik,Pigapiga Kabupaten Nunga Hasea Mangulahon Dohot Mandatdati skema Ruhutruhut Dohot Ris Denggan
"Tiga perbedaan utama adalah penjaminnya , paket bantuan / manfaatnya , dan sistem penggantian atau pembayarannya","Tolu Parasingan Lopok Adongma penjaminnya , Paket Tumpak / Hambolna , Dohot sistem penggantian Manang pembayarannya"
PT Askes adalah organisasi yang memiliki sejarah panjang dan pengalaman menyediakan jaminan / asuransi dan berorientasi laba,PT Askes Adongma Dalihan Na Mangarihon Sarita Ganjang Dohot Bitik Patupahon Tahanjorat / Asuransi Dohot berorientasi Omo
Studi ini mengkaji sejumlah pertanyaan terkait seperti,Studi On mengkaji sejumlah Sungkunsungkun Porot Tudos
Faktor-faktor apakah yang memengaruhi kemajuan layanan-layanan ini secara signifikan,Faktor-faktor Manang Na memengaruhi Hamajuon Hobason layanan On Sasara signifikan
Mengapa beberapa kabupaten lebih berhasil dalam melaksanakan program JPK-Gakin dibanding kabupaten-kabupaten lainnya,Amban Pigapiga Kabupaten Lobi Hasea Bagas Mangulahon Ruhutruhut JPK-Gakin dibanding Kabupaten kabupaten Habalian
Hambatan-hambatan seperti apa yang menghalangi penyediaan layanan yang lebih baik bagi masyarakat miskin,Abatabat hambatan Tudos Aha Na Ondingonding penyediaan Hobason Na Lobi Denggan Sagi Masarakat Pogos
"Tiga kabupaten telah dipilih untuk tujuan studi kasus ini , yakni","Tolu Kabupaten Nunga Dipillit Di Sipareakan studi kasus On , yakni"
Masing-masing kabupaten dipilih karena pertimbangan-pertimbangan khusus,Masing-masing Kabupaten Dipillit Alani Jujur Sudung
Bagaimanakah peran utama PT Askes dalam memengaruhi dinamika penyediaan layanan kesehatan,Bohado Dohoti Lopok PT Askes Bagas memengaruhi Dinamika penyediaan Hobason Hahipason
Kabupaten Tabanan adalah generasi kedua program JPK-Gakin yang diperkenalkan pada 2004,Kabupaten Tabanan Adongma Sundut Paduahon Ruhutruhut JPK-Gakina Na Ipatandahon Di 2004
"Karena telah memiliki sejumlah pengalaman , evaluasi tentang kesinambungan skema program ini perlu dilakukan","Alani Nunga Mangarihon sejumlah Bitik , evaluasi Olap kesinambungan skema Ruhutruhut On Porlu Dipadalan"
Apa yang membedakan layanan PT Askes dengan Bapel dalam mengelola skema JPK Gakin dan mengapa,Aha Na Paasinghon Hobason PT Askes Dohot Bapel Bagas Mangaradoti skema JPK Gakin Dohot Amban
"Akibatnya , skema ini umumnya dikenal sebagai Askes-Gakin","Hinorhonna , skema On umumnya Ditanda Ansiatni Askes-Gakin"
Laporan ini ingin mengupas tuntas pertanyaan-pertanyaan tersebut,Boaboa On Giot Mangalaklaki Bagebage Sungkunsungkun tersebut
DinKes Tabanan mau menghindari risiko kegagalan yang dapat menyebabkan masalah keuangan yang serius,DinKes Tabanan Ra Pasidinghon Resiko Hasundaton Na Dohar Manghorhon Hasuharan Parhepengon Na Marsitutu
Skema ini dimulai pada 1 April 2004 ketika Kabupaten Tabanan menerima status Daerah Pengembangan,Skema On Dipungk Di Sada April 2004 Andorang Kabupaten Tabanan Manjalo Pangkat Huta Pengembangana
Belum ada organisasi lain selain PT Askes yang memiliki kemampuan untuk mencakupi seluruh wilayah,Ndangdope Isi Dalihan Asing Angkupni PT Askes Na Mangarihon Dinatolap Di mencakupi Sandok Luat
PT Askes perlu mencari anggota yang potensial dalam berbagai kelompok atau lembaga,PT Askes Porlu Luluan Ruas Na potensial Bagas Marmansam Horong Manang Dalihan
"Namun demikian , hanya Buleleng dan Tabanan yang tertarik dengan proposal tersebut","Alai Alai , Holan Buleleng Dohot Tabanan Na Tarsintak Dohot proposal tersebut"
Setiap pemangku kepentingan yang terlibat dalam skema JPK-Gakin mengaku sebagai inisiator skema,Be pemangku Guna Na Marsapusapu Bagas skema JPK-Gakin Mangangku Ansiatni inisiator skema
PENYEDIA JAMINAN DAN MEKANISME PEMBIAYAAN,PENYEDIA Tahanjorat Dohot MEKANISME PEMBIAYAAN
"Tabanan , Buleleng , Badung , dan Jembrana","Tabanan , Buleleng , Tangkang , Dohot Jembrana"
"Secara umum , keanggotaan Askes dapat dikategorikan dalam","Sasara Boa , Haruason Askes Dohar dikategorikan Bagas"
"perusahaan swasta , BUMN dengan premi Rp15.000 / bulan; 3","perusahaan Partikulir , BUMN Dohot premi Rp15.000 / Bulan Tolu"
Rp25.000 / orang / bulan yang meliputi layanan kesehatan untuk standar pasien rawat inap kelas I di RSUD ),Rp25.000 / Jolma / Bulan Na Manghakam Hobason Hahipason Di standar Namarsahit Mudu Sorang Kalas I I RSUD )
"Rp5.000 / orang / bulan , yang meliputi layanan kesehatan yang tersedia untuk standar pasien rawat inap kelas 3 di BRSU","Rp5.000 / Jolma / Bulan , Na Manghakam Hobason Hahipason Na Ture Di standar Namarsahit Mudu Sorang Kalas Tolu I BRSU"
Akan tetapi kontrak ini tidak mengatur bagaimana dana-dana kesehatan yang tidak terpakai dapat dimanfaatkan,Naeng Alai kontrak On Ndada Pature Beha Hepeng dana Hahipason Na Ndada Tarpangke Dohar Diparhaseang
"Ketika pada 2004 terdapat sisa dana kesehatan , PT Askes menganggap bahwa dana tersebut adalah dana pembagian bagi mereka","Andorang Di 2004 Tardapot Teba Hepeng Hahipason , PT Askes Hamat Ima Hepeng tersebut Adongma Hepeng Parbagian Sagi Nasida"
"Menariknya , periode yang dilaporkan tersebut tidak konsisten dengan jangka waktu kontrak JPK-Gakin","Menariknya , periode Na Dialuhon tersebut Ndada Argahata Dohot jangka Tingki kontrak JPK-Gakin"
Jumlah ini didasarkan pada laporan keuangan yang dibuat PT Askes untuk periode Januari - November 2004,Lonsam On didasarkan Di Boaboa Parhepengon Na Dibahen PT Askes Di periode Januari - Nopember 2004
"Selama 2005 , kontrak akan direvisi dan dana yang tidak terpakai akan dianggap sebagai bagian dari dana untuk periode berikutnya","Saleleng 2005 , kontrak Naeng direvisi Dohot Hepeng Na Ndada Tarpangke Naeng Pinahamat Ansiatni Jambar Sian Hepeng Di periode Ihuttusi"
Jumlah ini sekitar 9% dari jumlah penduduk di kabupaten ini,Lonsam On Lambung Sia Sian Lonsam Isi I Kabupaten On
"Karena kontrak dengan PT Askes bersifat tahunan , maka DinKes berencana akan merevisi kontrak tersebut di tahun berikutnya","Alani kontrak Dohot PT Askes Marbangko Leleng , Asa DinKes Martahi Naeng merevisi kontrak tersebut I Taon Ihuttusi"
PESERTA JAMINAN KESEHATAN Keluarga miskin atau gakin secara otomatis terdaftar ke dalam Askes-Gakin,Parsidohot Tahanjorat Hahipason Tondong Pogos Manang gakin Sasara otomatis Tarsurat Tu Bagas Askes-Gakin
